iter	Passed	Remaining
799	1052	263
800	1053	261
801	1054	260
802	1054	258
803	1055	257
804	1056	255
805	1056	254
806	1057	252
807	1058	251
808	1058	250
809	1059	248
810	1060	247
811	1060	245
812	1061	244
813	1062	242
814	1063	241
815	1063	239
816	1064	238
817	1065	237
818	1066	235
819	1066	234
820	1067	232
821	1068	231
822	1068	229
823	1069	228
824	1070	227
825	1071	225
826	1072	224
827	1072	222
828	1073	221
829	1074	220
830	1074	218
831	1075	217
832	1076	215
833	1077	214
834	1077	212
835	1078	211
836	1079	210
837	1080	208
838	1080	207
839	1081	206
840	1082	204
841	1083	203
842	1083	201
843	1084	200
844	1085	199
845	1086	197
846	1086	196
847	1087	194
848	1088	193
849	1089	192
850	1089	190
851	1090	189
852	1091	188
853	1092	186
854	1093	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1097	178
860	1098	177
861	1099	176
862	1100	174
863	1101	173
864	1102	172
865	1103	170
866	1103	169
867	1104	167
868	1105	166
869	1106	165
870	1107	163
871	1107	162
872	1108	161
873	1109	159
874	1110	158
875	1111	157
876	1112	156
877	1113	154
878	1114	153
879	1114	152
880	1115	150
881	1116	149
882	1117	148
883	1118	146
884	1118	145
885	1119	144
886	1120	142
887	1121	141
888	1122	140
889	1122	138
890	1123	137
891	1124	136
892	1125	134
893	1126	133
894	1127	132
895	1128	130
896	1128	129
897	1129	128
898	1130	127
899	1131	125
900	1132	124
901	1132	123
902	1133	121
903	1134	120
904	1135	119
905	1135	117
906	1136	116
907	1137	115
908	1138	113
909	1138	112
910	1139	111
911	1140	110
912	1141	108
913	1141	107
914	1142	106
915	1143	104
916	1144	103
917	1145	102
918	1145	100
919	1146	99
920	1147	98
921	1147	97
922	1148	95
923	1149	94
924	1150	93
925	1151	92
926	1152	90
927	1153	89
928	1154	88
929	1155	86
930	1156	85
931	1157	84
932	1157	83
933	1158	81
934	1159	80
935	1160	79
936	1161	78
937	1162	76
938	1163	75
939	1165	74
940	1167	73
941	1169	71
942	1170	70
943	1172	69
944	1173	68
945	1175	67
946	1176	65
947	1179	64
948	1182	63
949	1185	62
950	1188	61
951	1190	60
952	1192	58
953	1194	57
954	1196	56
955	1197	55
956	1200	53
957	1203	52
958	1207	51
959	1210	50
960	1213	49
961	1216	48
962	1219	46
963	1221	45
964	1223	44
965	1224	43
966	1225	41
967	1227	40
968	1228	39
969	1230	38
970	1232	36
971	1233	35
972	1235	34
973	1237	33
974	1239	31
975	1241	30
976	1242	29
977	1245	28
978	1247	26
979	1249	25
980	1250	24
981	1252	22
982	1253	21
983	1255	20
984	1256	19
985	1258	17
986	1259	16
987	1260	15
988	1261	14
989	1263	12
990	1264	11
991	1266	10
992	1267	8
993	1269	7
994	1271	6
995	1272	5
996	1274	3
997	1276	2
998	1277	1
999	1279	0
