"Date","Price","Open","High","Low","Vol.","Change %"
"10 1994","472.35","462.69","474.74","449.27","-","2.08%"
"9 1994","462.71","475.49","475.49","458.47","-","-2.69%"
"8 1994","475.49","458.28","477.59","456.08","-","3.76%"
"7 1994","458.26","444.27","459.33","443.58","-","3.15%"
"6 1994","444.27","456.50","463.23","439.83","-","-2.68%"
"5 1994","456.50","450.91","457.77","440.78","-","1.24%"
"4 1994","450.91","445.66","452.79","435.86","-","1.15%"
"3 1994","445.77","467.19","471.09","436.16","-","-4.57%"
"2 1994","467.14","481.60","482.23","464.26","-","-3.00%"
"1 1994","481.61","466.51","482.85","464.36","-","3.25%"
"12 1993","466.45","461.93","471.29","461.45","-","1.01%"
"11 1993","461.79","467.83","469.11","454.36","-","-1.29%"
"10 1993","467.83","458.93","471.10","456.40","-","1.94%"
"9 1993","458.93","463.55","463.80","449.64","-","-1.00%"
"8 1993","463.56","448.13","463.56","446.94","-","3.44%"
"7 1993","448.13","450.54","451.15","441.40","-","-0.53%"
"6 1993","450.53","450.23","455.63","442.50","-","0.08%"
"5 1993","450.19","440.19","454.55","436.86","-","2.27%"
"4 1993","440.19","451.67","452.63","432.30","-","-2.54%"
"3 1993","451.67","443.38","456.76","441.07","-","1.87%"
"2 1993","443.38","438.78","450.04","428.25","-","1.05%"
"1 1993","438.78","435.70","442.66","426.88","-","0.70%"
"12 1992","435.71","431.35","442.65","428.61","-","1.01%"
"11 1992","431.35","418.66","431.93","415.58","-","3.03%"
"10 1992","418.68","417.80","421.16","396.80","-","0.21%"
"9 1992","417.80","414.03","425.27","412.71","-","0.91%"
"8 1992","414.03","424.19","425.14","408.30","-","-2.40%"
"7 1992","424.21","408.20","424.80","407.20","-","3.94%"
"6 1992","408.14","415.35","417.30","399.92","-","-1.74%"
"5 1992","415.35","414.95","418.75","409.85","-","0.10%"
"4 1992","414.95","403.67","416.28","392.41","-","2.79%"
"3 1992","403.69","412.68","413.78","401.94","-","-2.18%"
"2 1992","412.70","408.79","418.08","406.34","-","0.96%"
"1 1992","408.78","417.03","421.18","408.64","-","-1.99%"
"12 1991","417.09","375.11","418.32","371.36","-","11.16%"
"11 1991","375.22","392.46","398.22","371.63","-","-4.39%"
"10 1991","392.45","387.86","393.81","376.11","-","1.18%"
"9 1991","387.86","395.43","397.62","382.77","-","-1.91%"
"8 1991","395.43","387.81","396.82","374.09","-","1.96%"
"7 1991","387.81","371.18","387.81","370.92","-","4.49%"
"6 1991","371.16","389.81","389.81","367.98","-","-4.79%"
"5 1991","389.83","375.35","389.85","365.83","-","3.86%"
"4 1991","375.34","375.22","391.26","370.27","-","0.03%"
"3 1991","375.22","367.07","379.66","363.73","-","2.22%"
"2 1991","367.07","343.91","370.96","340.37","-","6.73%"
"1 1991","343.93","330.20","343.93","309.35","-","4.15%"
"12 1990","330.22","322.23","333.98","321.97","-","2.48%"
"11 1990","322.22","303.99","323.02","301.61","-","5.99%"
"10 1990","304.00","306.10","319.69","294.51","-","-0.67%"
"9 1990","306.05","322.56","326.53","295.98","-","-5.12%"
"8 1990","322.56","356.15","357.35","306.18","-","-9.43%"
"7 1990","356.15","358.02","369.78","350.09","-","-0.52%"
