"Date","Price","Open","High","Low","Vol.","Change %"
"9-01-2010","21.798","19.385","21.880","19.300","4.42K","12.37%"
"8-01-2010","19.398","18.435","19.400","17.925","8.66K","7.84%"
"7-01-2010","17.987","18.585","18.660","17.430","4.30K","-3.66%"
"6-01-2010","18.671","18.505","19.180","17.310","15.69K","1.41%"
"5-01-2010","18.411","18.625","19.800","17.090","6.20K","-1.07%"
"4-01-2010","18.611","17.560","18.765","17.560","24.65K","6.28%"
"3-01-2010","17.512","16.500","17.565","16.320","6.58K","6.13%"
"2-01-2010","16.500","16.190","16.720","15.000","41.32K","1.96%"
"1-01-2010","16.183","16.885","18.795","16.100","0.56K","-3.80%"
"12-01-2009","16.822","18.470","19.420","16.760","7.17K","-9.05%"
"11-01-2009","18.495","16.930","18.900","16.885","33.61K","13.84%"
"10-01-2009","16.246","16.590","17.845","16.035","0.32K","-2.34%"
"9-01-2009","16.636","14.885","17.555","14.650","4.36K","11.67%"
"8-01-2009","14.898","14.020","15.100","13.610","19.72K","6.93%"
"7-01-2009","13.933","13.600","14.050","12.480","3.82K","2.64%"
"6-01-2009","13.574","15.850","15.885","13.435","14.06K","-12.99%"
"5-01-2009","15.600","12.335","15.750","12.040","3.11K","26.78%"
"4-01-2009","12.305","12.830","13.105","12.035","21.78K","-5.16%"
"3-01-2009","12.975","13.090","13.850","11.940","5.96K","-0.84%"
"2-01-2009","13.085","12.500","14.365","12.270","27.70K","4.18%"
"1-01-2009","12.560","11.195","12.590","10.370","1.84K","11.45%"
"12-01-2008","11.270","10.240","11.410","9.135","3.18K","10.65%"
"11-01-2008","10.185","10.295","10.455","8.830","17.60K","4.68%"
"10-01-2008","9.730","12.570","12.570","8.780","1.56K","-20.45%"
"9-01-2008","12.231","13.770","13.770","10.280","5.94K","-10.11%"
"8-01-2008","13.607","17.650","17.650","12.800","27.63K","-23.34%"
"7-01-2008","17.750","17.440","19.375","16.830","3.19K","1.89%"
"6-01-2008","17.420","16.850","17.880","16.465","27.32K","3.52%"
"5-01-2008","16.827","16.970","18.290","15.995","3.65K","1.97%"
"4-01-2008","16.502","16.885","17.860","16.365","20.85K","-4.47%"
"3-01-2008","17.275","19.780","21.185","16.770","5.19K","-12.79%"
"2-01-2008","19.808","16.890","19.925","16.445","22.95K","16.88%"
"1-01-2008","16.948","15.340","16.875","15.085","2.13K","14.54%"
"12-01-2007","14.797","13.960","14.825","13.600","3.26K","5.97%"
"11-01-2007","13.963","14.740","15.485","13.760","21.67K","-2.88%"
"10-01-2007","14.377","13.710","14.450","13.205","0.12K","4.23%"
"9-01-2007","13.794","12.095","13.815","12.000","2.73K","14.35%"
"8-01-2007","12.063","12.955","12.955","11.725","13.45K","-6.85%"
"7-01-2007","12.950","12.405","13.420","12.405","3.34K","4.83%"
"6-01-2007","12.353","13.765","13.765","12.265","19.50K","-7.88%"
"5-01-2007","13.409","13.420","13.585","12.785","2.39K","-0.27%"
"4-01-2007","13.445","13.100","14.100","13.020","18.83K","0.41%"
"3-01-2007","13.390","14.230","14.305","12.470","3.61K","-5.04%"
"2-01-2007","14.100","13.620","14.720","13.300","23.99K","4.34%"
"1-01-2007","13.514","12.720","13.550","12.200","0.99K","5.43%"
"12-01-2006","12.818","13.900","14.185","12.230","2.80K","-7.95%"
"11-01-2006","13.925","13.620","14.000","13.540","18.47K","14.03%"
"10-01-2006","12.212","11.030","11.280","11.030","0.19K","6.66%"
"9-01-2006","11.450","12.870","13.260","10.450","3.06K","-11.24%"
"8-01-2006","12.900","12.200","12.930","12.150","15.09K","13.91%"
"7-01-2006","11.325","10.860","11.780","10.650","3.30K","4.54%"
"6-01-2006","10.833","12.100","12.140","9.750","14.63K","-12.62%"
"5-01-2006","12.398","13.580","14.970","12.000","6.72K","-8.23%"
"4-01-2006","13.510","11.630","13.760","11.630","24.08K","17.68%"
"3-01-2006","11.480","9.735","11.620","9.640","6.02K","18.11%"
"2-01-2006","9.720","9.820","9.820","9.250","20.29K","-1.32%"
"1-01-2006","9.850","9.030","9.870","8.805","0.98K","11.68%"
"12-01-2005","8.820","8.275","9.170","8.190","4.81K","6.52%"
"11-01-2005","8.280","7.400","8.365","7.400","36.98K","9.67%"
"10-01-2005","7.550","7.670","7.740","7.620","0.59K","1.23%"
"9-01-2005","7.458","6.825","7.390","6.810","2.47K","9.98%"
"8-01-2005","6.781","6.920","6.950","6.630","19.52K","-6.31%"
"7-01-2005","7.238","6.870","7.150","6.810","2.08K","2.99%"
"6-01-2005","7.028","7.580","7.580","6.990","15.21K","-5.59%"
"5-01-2005","7.444","6.925","7.180","6.770","4.56K","7.84%"
"4-01-2005","6.903","7.100","7.150","6.850","18.59K","-3.72%"
"3-01-2005","7.170","7.345","7.640","6.860","4.37K","-2.57%"
